Scale,N,Approximation,Error
0,92600,0.945875,0.143729
0,93100,0.930644,1.46876
0,93600,0.94625,0.18346
0,94100,0.939022,0.581765
0,94600,0.944524,0.000754565
0,95100,0.94306,0.154285
0,95600,0.943023,0.158194
0,96100,0.94898,0.472521
0,96600,0.929348,1.60604
0,97100,0.950608,0.64482
0,97600,0.939928,0.485847
0,98100,0.939266,0.555959
0,98600,0.941531,0.316113
0,99100,0.940323,0.444066
0,99600,0.940663,0.408096
5,100,1.69,78.9274
5,600,1.40833,49.1062
5,1100,0.921818,2.40324
5,1600,1.05625,11.8296
5,2100,1.04619,10.7646
5,2600,0.715,24.2999
5,3100,0.70871,24.9659
5,3600,1.2675,34.1955
5,4100,0.741951,21.4465
5,4600,1.06543,12.8021
5,5100,0.927843,1.76535
5,5600,0.875179,7.34117
5,6100,0.941967,0.269976
5,6600,1.07545,13.8629
5,7100,0.856901,9.27625
5,7600,1.13408,20.0697
5,8100,1.21012,28.1209
5,8600,1.08081,14.4303
5,9100,0.854286,9.55318
5,9600,1.00344,6.23814
5,10100,0.970495,2.75039
5,10600,1.13198,19.8476
5,11100,0.822162,12.9542
5,11600,0.874138,7.45135
5,12100,1.13132,19.7778
5,12600,1.14008,20.705
5,13100,0.928855,1.65823
5,13600,1.00654,6.56705
5,14100,0.994823,5.32606
5,14600,0.983904,4.17006
5,15100,0.984901,4.27557
5,15600,1.0725,13.5501
5,16100,0.976211,3.35558
5,16600,0.804277,14.8478
5,17100,0.978421,3.58954
5,17600,0.93142,1.38661
5,18100,0.840331,11.0306
5,18600,0.790484,16.3082
5,19100,1.11487,18.0359
5,19600,0.862245,8.71051
5,20100,0.958507,1.48121
5,20600,0.910631,3.58767
5,21100,0.832986,11.8083
5,21600,0.931065,1.42426
5,22100,1.04765,10.9188
5,22600,0.874912,7.36945
5,23100,0.907186,3.95239
5,23600,0.887966,5.9873
5,24100,0.855519,9.42265
5,24600,0.996138,5.46533
5,25100,0.882032,6.61558
5,25600,1.06945,13.2275
5,26100,0.977739,3.51738
5,26600,0.927594,1.79173
5,27100,1.02273,8.28079
5,27600,0.97971,3.72603
5,28100,0.860036,8.94442
5,28600,0.945455,0.0992422
5,29100,1.03375,9.447
5,29600,0.976318,3.36684
5,30100,1.0387,9.97199
5,30600,0.92232,2.35008
5,31100,0.950965,0.682618
5,31600,0.877089,7.13895
5,32100,0.931869,1.3391
5,32600,0.782791,17.1226
5,33100,0.873082,7.56319
5,33600,0.794702,15.8615
5,34100,0.946598,0.22033
5,34600,0.928035,1.74507
5,35100,0.91,3.65448
5,35600,0.930449,1.48941
5,36100,0.917562,2.85382
5,36600,1.02046,8.04086
5,37100,0.933827,1.13176
5,37600,0.939388,0.543017
5,38100,1.00247,6.13541
5,38600,0.923808,2.19254
5,39100,0.99844,5.70902
5,39600,0.913283,3.30691
5,40100,0.855536,9.42079
5,40600,0.82835,12.2991
5,41100,0.970414,2.74176
5,41600,1.02781,8.81882
5,42100,0.975463,3.27638
5,42600,0.916408,2.97599
5,43100,0.988121,4.61648
5,43600,0.930275,1.50786
5,44100,1.0117,7.113
5,44600,0.784372,16.9552
5,45100,0.951796,0.77064
5,45600,0.974715,3.19716
5,46100,0.909154,3.74405
5,46600,0.975558,3.28641
5,47100,0.918556,2.74859
5,47600,0.958613,1.49243
5,48100,1.02595,8.6212
5,48600,0.970185,2.71758
5,49100,0.922444,2.33698
5,49600,0.98129,3.89333
5,50100,1.04571,10.7136
5,50600,0.965237,2.19371
5,51100,0.886341,6.15941
5,51600,0.979283,3.6808
5,52100,0.966641,2.34235
5,52600,0.992795,5.11134
5,53100,0.945254,0.0780347
5,53600,0.90806,3.85991
5,54100,0.952773,0.87404
5,54600,0.965714,2.24423
5,55100,0.987623,4.56374
5,55600,0.933147,1.20376
5,56100,0.858556,9.10106
5,56600,0.898746,4.84603
5,57100,0.908634,3.79911
5,57600,0.912483,3.39163
5,58100,0.994802,5.32387
5,58600,1.05265,11.448
5,59100,1.018,7.78029
5,59600,0.99245,5.07481
5,60100,0.989817,4.79608
5,60600,0.978861,3.63616
5,61100,0.868511,8.04713
5,61600,0.979432,3.69656
5,62100,0.925282,2.03653
5,62600,0.988083,4.6125
5,63100,0.929366,1.60411
5,63600,1.03101,9.15696
5,64100,1.00451,6.35154
5,64600,0.95226,0.819771
5,65100,1.05138,11.3143
5,65600,1.03306,9.37483
5,66100,1.00224,6.11125
5,66600,0.895751,5.16311
5,67100,0.952042,0.796655
5,67600,0.9725,2.96266
5,68100,1.0001,5.88508
5,68600,1.01252,7.19994
5,69100,0.868234,8.07637
5,69600,0.912989,3.33807
5,70100,0.920942,2.49606
5,70600,0.931176,1.41253
5,71100,0.941266,0.344235
5,71600,0.937053,0.790257
5,72100,0.888363,5.94524
5,72600,0.933457,1.17096
5,73100,0.885458,6.25281
5,73600,0.934552,1.0551
5,74100,0.960175,1.6578
5,74600,0.890308,5.73932
5,75100,0.940639,0.410584
5,75600,0.945595,0.114138
5,76100,0.854993,9.47826
5,76600,1.02371,8.38422
5,77100,0.97323,3.0399
5,77600,0.953892,0.992525
5,78100,0.930474,1.48684
5,78600,0.961107,1.75642
5,79100,1.0234,8.35174
5,79600,1.01697,7.67113
5,80100,0.92834,1.71279
5,80600,0.989677,4.7813
5,81100,0.916893,2.92472
5,81600,0.94027,0.449709
5,82100,0.928368,1.7098
5,82600,0.92684,1.87154
5,83100,0.91923,2.67728
5,83600,0.986507,4.44566
5,84100,0.944471,0.00490387
5,84600,0.994823,5.32606
5,85100,1.01479,7.44054
5,85600,0.918049,2.80229
5,86100,0.999082,5.77705
5,86600,0.926963,1.85853
5,87100,1.03806,9.90374
5,87600,0.94339,0.119296
5,88100,0.890079,5.76355
5,88600,0.976614,3.39822
5,89100,0.929405,1.59997
5,89600,0.935536,0.950906
5,90100,0.949101,0.485308
5,90600,0.930806,1.45169
5,91100,0.938683,0.617715
5,91600,0.944629,0.0118193
5,92100,0.963355,1.99444
5,92600,0.872376,7.63791
5,93100,0.954823,1.0911
5,93600,0.944306,0.0224062
5,94100,0.946472,0.206947
5,94600,0.87537,7.32091
5,95100,0.943628,0.0941672
5,95600,0.961674,1.81643
5,96100,1.00063,5.9414
5,96600,0.97971,3.72603
5,97100,0.95378,0.980652
5,97600,0.97833,3.5799
5,98100,0.950948,0.680859
5,98600,0.916988,2.91465
5,99100,0.888486,5.93222
5,99600,0.960382,1.67962
10,100,0,100
10,600,0,100
10,1100,1.92364,103.663
10,1600,0.66125,29.9907
10,2100,0.755714,19.9894
10,2600,0.813846,13.8347
10,3100,1.36516,44.5354
10,3600,1.46944,55.5763
10,4100,0.645122,31.6982
10,4600,0.575,39.1223
10,5100,1.14098,20.8004
10,5600,0.66125,29.9907
10,6100,0.520328,44.9107
10,6600,0.561061,40.5982
10,7100,0.74507,21.1163
10,7600,0.835263,11.5672
10,8100,0.522469,44.684
10,8600,0.984186,4.19991
10,9100,1.22077,29.248
10,9600,0.936771,0.820139
10,10100,0.995149,5.36055
10,10600,1.09792,16.2419
10,11100,0.857838,9.17711
10,11600,0.957672,1.3928
10,12100,1.00554,6.46044
10,12600,0.71373,24.4344
10,13100,1.37298,45.3628
10,13600,0.700147,25.8725
10,14100,0.862908,8.64033
10,14600,0.978288,3.57542
10,15100,0.875828,7.27243
10,15600,0.983397,4.11642
10,16100,1.11714,18.2766
10,16600,1.11536,18.088
10,17100,0.959006,1.53398
10,17600,0.961818,1.83173
10,18100,0.789116,16.453
10,18600,0.99543,5.39036
10,19100,1.08016,14.3608
10,19600,0.890663,5.70174
10,20100,1.2896,36.5356
10,20600,0.847427,10.2793
10,21100,0.92763,1.78788
10,21600,1.00412,6.31044
10,22100,1.00534,6.4395
10,22600,0.749027,20.6974
10,23100,1.00762,6.68086
10,23600,0.919025,2.69892
10,24100,0.987759,4.57823
10,24600,0.903171,4.37752
10,25100,0.800876,15.2078
10,25600,0.743906,21.2395
10,26100,1.11475,18.0234
10,26600,0.85515,9.46164
10,27100,0.878413,6.9987
10,27600,1.2075,27.8431
10,28100,0.884804,6.32206
10,28600,0.998811,5.74833
10,29100,1.19979,27.0272
10,29600,0.893581,5.39282
10,30100,0.966611,2.3392
10,30600,0.933529,1.16332
10,31100,0.765434,18.9603
10,31600,1.07139,13.4328
10,32100,1.02174,8.17639
10,32600,1.08721,15.1073
10,33100,1.10275,16.7527
10,33600,0.991875,5.01397
10,34100,1.00836,6.75907
10,34600,0.993786,5.21631
10,35100,0.904274,4.26077
10,35600,1.05503,11.7003
10,36100,0.776648,17.773
10,36600,0.838306,11.245
10,37100,1.01237,7.18407
10,37600,1.02705,8.73787
10,38100,0.888609,5.91924
10,38600,1.01415,7.3718
10,39100,1.04176,10.296
10,39600,1.1622,23.0467
10,40100,0.778329,17.595
10,40600,0.977217,3.46204
10,41100,1.18414,25.3695
10,41600,1.08089,14.4383
10,42100,0.879572,6.87597
10,42600,0.894085,5.33952
10,43100,0.90826,3.83872
10,43600,1.22544,29.742
10,44100,0.827687,12.3693
10,44600,1.02004,7.99643
10,45100,0.891441,5.61937
10,45600,0.754057,20.1648
10,46100,1.04423,10.557
10,46600,0.817339,13.4649
10,47100,0.909745,3.68145
10,47600,0.911303,3.51658
10,48100,1.16578,23.426
10,48600,0.914321,3.197
10,49100,0.861914,8.7455
10,49600,0.84256,10.7946
10,50100,1.02421,8.43758
10,50600,1.02455,8.47293
10,51100,1.02487,8.50759
10,51600,0.850911,9.9105
10,52100,0.995048,5.34991
10,52600,1.01576,7.54282
10,53100,0.986271,4.42067
10,53600,0.977071,3.4466
10,54100,0.81159,14.0736
10,54600,0.862289,8.7058
10,55100,0.960073,1.64692
10,55600,0.999011,5.76947
10,56100,0.876952,7.15342
10,56600,0.859859,8.96315
10,57100,0.843065,10.7412
10,57600,0.973507,3.06927
10,58100,1.01065,7.00219
10,58600,0.974949,3.22192
10,59100,0.930897,1.44205
10,59600,1.00297,6.18862
10,60100,1.02983,9.03281
10,60600,1.0388,9.98163
10,61100,0.917741,2.83486
10,61600,0.850179,9.98803
10,62100,0.945556,0.109937
10,62600,0.980256,3.78378
10,63100,0.989255,4.7366
10,63600,0.923255,2.25115
10,64100,0.800515,15.2461
10,64600,0.982663,4.03861
10,65100,0.918233,2.78277
10,65600,0.935427,0.962434
10,66100,0.864327,8.4901
10,66600,0.921381,2.44948
10,67100,0.977586,3.5011
10,67600,0.923402,2.23551
10,68100,0.970999,2.80369
10,68600,0.971633,2.87083
10,69100,1.04881,11.0423
10,69600,0.957672,1.3928
10,70100,0.845193,10.5159
10,70600,0.921629,2.42328
10,71100,0.810985,14.1377
10,71600,0.834874,11.6084
10,72100,0.968488,2.53791
10,72600,0.932672,1.25408
10,73100,0.803269,14.9545
10,73600,0.941562,0.312825
10,74100,1.0066,6.57288
10,74600,1.09204,15.6186
10,75100,0.704394,25.4228
10,75600,0.930648,1.46837
10,76100,0.917582,2.85173
10,76600,0.959935,1.63232
10,77100,0.905681,4.11176
10,77600,1.0839,14.7575
10,78100,0.914405,3.18814
10,78600,0.760522,19.4804
10,79100,0.842655,10.7846
10,79600,0.850653,9.93777
10,80100,0.911386,3.50776
10,80600,0.918859,2.71659
10,81100,0.958853,1.51782
10,81600,0.985392,4.3276
10,82100,0.792533,16.0912
10,82600,0.922228,2.35989
10,83100,0.986703,4.46636
10,83600,0.809952,14.247
10,84100,0.842878,10.761
10,84600,0.862908,8.64033
10,85100,0.876486,7.2027
10,85600,0.803388,14.942
10,86100,1.0322,9.28283
10,86600,1.06289,12.5323
10,87100,0.929242,1.61722
10,87600,0.984326,4.21478
10,88100,1.09883,16.3378
10,88600,0.979187,3.67068
10,89100,0.843075,10.7401
10,89600,1.0273,8.76447
10,90100,0.992242,5.05282
10,90600,0.817439,13.4543
10,91100,0.917475,2.86304
10,91600,0.796965,15.622
10,92100,1.12003,18.5826
10,92600,1.05114,11.2891
10,93100,0.875038,7.3561
10,93600,0.92688,1.86729
10,94100,0.933199,1.19833
10,94600,0.872347,7.64099
10,95100,0.834385,11.6602
10,95600,0.868755,8.02124
10,96100,0.930291,1.50615
10,96600,0.832381,11.8723
10,97100,1.08415,14.7836
10,97600,0.910574,3.59373
10,98100,0.927503,1.80141
10,98600,1.00864,6.78905
10,99100,1.07828,14.1625
10,99600,0.913534,3.28031
15,100,0,100
